Longitude, Latitude, Price
-116.621416, 43.572861, 494990
-116.621377, 43.572656, 489990
-116.621373, 43.572468, 509990
-116.620705, 43.572533, 474990
-116.618434, 43.575000, 589000
-116.559160, 43.627144, 380000
-116.568922, 43.635330, 639900
-116.546699, 43.626251, 494990
-116.547700, 43.620093, 433990
-116.550010, 43.620105, 432990
-116.580200, 43.583470, 349900
-116.556130, 43.573866, 318000
-116.593326, 43.580170, 349900
-116.567800, 43.581980, 279900
-116.576420, 43.575027, 375000
-116.567420, 43.564666, 299900
-116.554219, 43.563627, 349000
-116.554053, 43.570486, 214900
-116.558256, 43.565573, 275000
-116.572049, 43.574019, 558000
-116.586158, 43.559978, 399900
-116.590705, 43.555673, 359000
